INFO:root:Receiving GPS data
INFO:root:Lat: 3436.45068 Long: -11220.90616
INFO:root:Lat: 3436.45036 Long: -11220.9058
INFO:root:Lat: 3436.44992 Long: -11220.90577
INFO:root:Lat: 3436.45012 Long: -11220.90541
INFO:root:Lat: 3436.45051 Long: -11220.90528
INFO:root:Lat: 3436.45063 Long: -11220.90553
INFO:root:Lat: 3436.4506 Long: -11220.90564
INFO:root:Lat: 3436.45004 Long: -11220.90547
INFO:root:Lat: 3436.4501 Long: -11220.9055
INFO:root:Lat: 3436.44998 Long: -11220.90486
INFO:root:Lat: 3436.45064 Long: -11220.90378
INFO:root:Lat: 3436.45059 Long: -11220.90361
INFO:root:Lat: 3436.45058 Long: -11220.90335
INFO:root:Lat: 3436.4509 Long: -11220.90289
INFO:root:Lat: 3436.45113 Long: -11220.90232
INFO:root:Lat: 3436.45148 Long: -11220.90258
